출발 건물,도착 건물,거리(m),보정 거리(m),도보 시간(분)
E1-1,N14,321,385,5
E1-1,N13,335,403,6
E1-1,N15,432,519,7
E1-1,N16-1,487,584,8
E1-1,N18,227,273,4
E1-1,N20-1,685,821,11
E1-1,N23,682,818,11
E1-2,E8-1,292,351,5
E1-2,E8-2,364,437,6
E1-2,E8-7,427,512,7
E1-2,E8-8,467,560,8
E1-2,E8-10,555,666,9
E1-2,E9,479,574,8
E1-2,N7,585,703,9
E1-2,N14,417,501,7
E1-2,N13,336,403,6
E1-2,N15,223,268,4
E1-2,N16-1,213,256,4
E1-2,N18,623,748,10
E1-2,N20-1,169,202,3
E1-2,N23,79,94,2
E8-1,E8-2,73,88,2
E8-1,E8-7,144,173,3
E8-1,E8-8,239,287,4
E8-1,E8-10,286,344,5
E8-1,E9,187,225,3
E8-1,N7,713,856,11
E8-1,N14,516,619,8
E8-1,N13,410,491,7
E8-1,N15,320,384,5
E8-1,N16-1,391,469,6
E8-1,N18,678,813,11
E8-1,N20-1,455,546,7
E8-1,N23,371,445,6
E8-2,E8-7,95,114,2
E8-2,E8-8,222,266,4
E8-2,E8-10,238,286,4
E8-2,E9,120,144,2
E8-2,N7,749,898,12
E8-2,N14,551,662,9
E8-2,N13,446,535,7
E8-2,N15,369,443,6
E8-2,N16-1,447,537,7
E8-2,N18,698,837,11
E8-2,N20-1,525,631,8
E8-2,N23,443,531,7
E8-7,E8-8,139,167,3
E8-7,E8-10,144,173,3
E8-7,E9,67,81,2
E8-7,N7,844,1013,13
E8-7,N14,646,776,10
E8-7,N13,541,649,9
E8-7,N15,460,552,7
E8-7,N16-1,534,641,9
E8-7,N18,792,950,12
E8-7,N20-1,594,712,9
E8-7,N23,505,607,8
E8-8,E8-10,122,146,2
E8-8,E9,186,223,3
E8-8,N7,951,1142,15
E8-8,N14,754,905,12
E8-8,N13,648,778,10
E8-8,N15,554,665,9
E8-8,N16-1,616,739,10
E8-8,N18,914,1097,14
E8-8,N20-1,634,761,10
E8-8,N23,541,649,9
E8-10,E9,141,170,3
E8-10,N7,987,1184,15
E8-10,N14,789,947,12
E8-10,N13,684,821,11
E8-10,N15,604,725,10
E8-10,N16-1,677,813,11
E8-10,N18,929,1114,14
E8-10,N20-1,724,869,11
E8-10,N23,633,759,10
E9,N7,855,1026,13
E9,N14,659,791,10
E9,N13,555,666,9
E9,N15,485,582,8
E9,N16-1,566,679,9
E9,N18,790,948,12
E9,N20-1,642,771,10
E9,N23,557,669,9
N7,N14,198,237,3
N7,N13,304,364,5
N7,N15,403,483,7
N7,N16-1,373,447,6
N7,N18,171,205,3
N7,N20-1,515,618,8
N7,N23,567,680,9
N14,N13,106,127,2
N14,N15,212,255,4
N14,N16-1,209,251,4
N14,N18,209,251,4
N14,N20-1,392,470,6
N14,N23,417,501,7
N13,N15,116,139,2
N13,N16-1,151,182,3
N13,N18,292,351,5
N13,N20-1,349,419,6
N13,N23,352,422,6
N15,N16-1,94,113,2
N15,N18,408,490,7
N15,N20-1,270,323,5
N15,N23,250,300,4
N16-1,N18,418,501,7
N16-1,N20-1,198,237,3
N16-1,N23,209,250,4
N18,N20-1,598,717,9
N18,N23,626,751,10
N20-1,N23,95,114,2
