개설 연도,개설 학과,수강 대상,교과목 번호,분반 번호,교과목명,이수구분,학점,이론,실습,수업방식,요일,교시,강의실,담당교수,강의 정원,방법_강의(%),방법_토의토론(%),방법_실험실습(%),방법_현장학습(%),방법_발표(%),방법_기타(%),평가_중간(%),평가_기말(%),평가_출석(%),평가_퀴즈(%),평가_과제(%),평가_기타(%),교양대분류,교양소분류
2026년,대학(교양교육본부),학부(전학년),0931010,01,알기쉬운인문학과 자연과학의만남,교양선택,3,3,0,대면,수,"02,03,04",N14-104(56-104),김영철,100,0,0,0,0,0,0,50,50,0,0,0,0,,
2026년,대학(교양교육본부),학부(전학년),0931012,01,공부에대한공부,교양선택,3,3,0,대면,화,"06,07,08",N14-104(56-104),김종원,80,80,10,0,0,0,10,0,0,0,0,0,0,,
2026년,대학(교양교육본부),학부(전학년),0931018,01,창의적솔루션을위한융합디자인,교양선택,3,3,0,대면,목,"06,07,08",N14-206(56-206),정안철,50,60,15,0,5,10,0,30,40,20,0,0,10,,
2026년,대학(교양교육본부),학부(전학년),0931020,01,배터리속소재이야기,교양선택,3,3,0,비실시간원격수업,월|화|수,00|00|00,가상강의실1|가상강의실1|가상강의실1,박기대,100,100,0,0,0,0,0,40,40,20,0,0,0,,
2026년,대학(교양교육본부),학부(전학년),0931024,01,키워드;컬러인문학,교양선택,3,3,0,대면,수,"03,04,05",N14-207(56-207),고봉만,80,70,10,0,0,10,10,35,35,15,0,10,5,,
2026년,대학(교양교육본부),학부(전학년),0931027,01,과학커뮤니케이터되기,교양선택,3,3,0,대면,금,"01,02,03",N14-106(56-106),박권수,45,20,20,20,0,40,0,0,30,10,0,50,10,,
